gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5018661736	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US	Morro Bay, Ortsrand, Dünen und Strand		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	35.378036	-120.863808	250.0						2016-03-26T00:00	26	3	2016	5422328	5422328	HUMAN_OBSERVATION	NABU|naturgucker	NABU|naturgucker	-273222516				CC_BY_4_0		1597687675			2025-01-16T17:30:55.934Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
5007743181	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56036592	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.977822	-121.909797							2020-08-09T16:26	9	8	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	56036592		Heather Fulton-Bennett	2020-08-10T16:29:41	CC_BY_4_0	Karen Kincy	Karen Kincy			2025-01-22T02:44:13.228Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5006886409	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/257546793	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.456626	-120.963553							2017-08-12T10:39	12	8	2017	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	257546793		Heather Fulton-Bennett	2025-01-06T18:08:36	CC_BY_NC_4_0	Rob Keeney	Rob Keeney			2025-01-22T02:26:06.876Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994345668	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/23561451	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.670151	-117.245348	5.0						2019-04-27T11:53:39	27	4	2019	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	23561451		brhong	2019-05-04T01:04:30	CC_BY_NC_4_0	hi_nicole	hi_nicole			2025-01-22T01:03:11.994Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982179713	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251939561	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.987484	-118.474903	488.0						2014-09-22T14:29	22	9	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	251939561		James Senn	2024-11-16T22:11:54	CC_BY_NC_4_0	James Senn	James Senn			2025-01-22T03:38:25.686Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982038971	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251416052	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.541333	-117.784167							2013-08-29T17:54	29	8	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	251416052		Daniel Hetzel	2024-11-12T08:17:58	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T02:19:49.290Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4981953539	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251390645	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.007094	-118.813958							2014-07-12T19:46	12	7	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	251390645		Daniel Hetzel	2024-11-12T02:10:35	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T02:24:02.944Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976317226	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240391245	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.716472	-118.319566	31.0						2017-11-03T16:50	3	11	2017	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	240391245		Daniel Hetzel	2024-09-07T19:49:49	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T02:19:13.659Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976066342	391f1056-8fb1-4dfc-88db-3ebd9695fae3	6db7f9eb-2f06-4f2d-ab6f-76de21658189	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera	(Linnaeus) C.Agardh	US	Beach at Tabletop Reef	California	PRESENT		8a471700-4ce8-11db-b80e-b8a03c50a862	32.998	-117.2766							2016-09-23	23	9	2016	5422328	5422328	PRESERVED_SPECIMEN	SD			1366	J La Grange	2016-01-01T00:00:00	CC_BY_4_0		John La Grange			2025-01-24T09:12:57.883Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4976066340	391f1056-8fb1-4dfc-88db-3ebd9695fae3	1a987393-d2f1-42ea-87e7-b5633cbbbfc1	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera	(Linnaeus) C.Agardh	US	Solana Beach, Tabletop reef beach	California	PRESENT		8a471700-4ce8-11db-b80e-b8a03c50a862	33.998	-117.2766							2016-09-23	23	9	2016	5422328	5422328	PRESERVED_SPECIMEN	SD			1366	J. La Grange	2016-01-01T00:00:00	CC_BY_4_0		John La Grange			2025-01-24T09:12:59.336Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4952895935	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245077270	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.448014	-120.906801	244.0						2014-09-23T13:10:02	23	9	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	245077270		Qadry Anthony	2024-10-01T14:43:51	CC_BY_4_0	Qadry Anthony	Qadry Anthony			2025-01-22T02:19:28.077Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950607610	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6860529	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.460227	-117.710228	5.0						2017-06-30T09:15:45	30	6	2017	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	6860529		Alison Young	2017-07-02T18:08:38	CC_BY_4_0	Corey Stafford	Corey Stafford			2025-01-22T00:56:45.345Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945980186	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/213088151	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.385058	-118.474258	5.0						2020-07-22T15:07	22	7	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	213088151		Daniel Hetzel	2024-05-03T07:23:59	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T02:08:53.794Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945900199	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/194319989	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.520043	-117.764189	4.0						2013-08-29T17:54	29	8	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	194319989		Daniel Hetzel	2023-12-19T00:56:58	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T03:59:11.741Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945838968	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/219658155	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.997154	-120.043875	61.0						2019-11-03T14:47	3	11	2019	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	219658155		Daniel Hetzel	2024-06-01T02:21:11	CC0_1_0	Daniel Hetzel	Daniel Hetzel			2025-01-22T02:12:17.366Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945744490	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239072823	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.633579	-121.93929	66.0						2020-03-07T14:19	7	3	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	239072823		Collin Gross	2024-08-31T23:41:27	CC_BY_NC_4_0	Collin Gross	Collin Gross			2025-01-22T03:36:19.785Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936985260	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/67178575	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.709003	-118.282945	61.0						2020-12-27T17:44	27	12	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	67178575		naturephotosuze	2020-12-28T04:52:49	CC_BY_NC_4_0	naturephotosuze	naturephotosuze			2025-01-22T01:15:47.106Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936713684	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/66505078	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.355723	-119.441996	15.0						2020-12-12T14:32	12	12	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	66505078		naturephotosuze	2020-12-13T05:35:43	CC_BY_NC_4_0	naturephotosuze	naturephotosuze			2025-01-22T02:47:17.483Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936700025	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56978063	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.044563	-118.934169	4.0						2020-08-19T08:37	19	8	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	56978063		naturephotosuze	2020-08-19T22:56:02	CC_BY_NC_4_0	naturephotosuze	naturephotosuze			2025-01-22T01:11:55.425Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936257127	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37644530	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.0323	-118.681337	31.0						2020-01-12T14:51	12	1	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	37644530		naturephotosuze	2020-01-16T08:26:20	CC_BY_NC_4_0	naturephotosuze	naturephotosuze			2025-01-22T02:38:16.395Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923918467	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3064260	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.031851	-118.680035	5.0						2016-04-30T11:24:40	30	4	2016	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	3064260		Heather Fulton-Bennett	2018-04-24T19:24:15	CC_BY_NC_4_0	danmoos	danmoos			2025-01-22T00:54:40.697Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908535458	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/13574426	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.417469	-119.805561							2018-06-09T20:20	9	6	2018	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	13574426		Heather Fulton-Bennett	2018-06-19T22:23:53	CC_BY_4_0	bjoerns	bjoerns			2025-01-22T00:59:44.411Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908113388	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227222346	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.044717	-118.93373	5.0						2018-10-02T11:52:15	2	10	2018	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	227222346		Matt Felperin	2024-07-05T01:50:35	CC_BY_4_0	Matt Felperin	Matt Felperin			2025-01-22T03:33:56.186Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901944389	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/65602703	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.570554	-117.83744	4.0						2020-11-25T13:41:13Z	25	11	2020	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	65602703		Thomas Vincent	2020-11-25T21:44:42	CC0_1_0	Thomas Vincent	Thomas Vincent			2025-01-22T02:47:06.510Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4890522184	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/292727665	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US	Monterey (CA)	California (CA)	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	36.519439	-121.937964	300.0						2017-09-16	16	9	2017	5422328	5422328	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 111847			2025-01-29T06:33:44.245Z	StillImage	
